2025-10-21 14:44:34,822 - INFO - Loading input XYZ: 01_all_xtb_sampled/01_all_xtb_sampled_part_5.xyz
2025-10-21 14:44:34,881 - INFO - Loaded 142 frames
2025-10-21 14:44:34,882 - INFO - xTB method initialized: GFN2-xTB
2025-10-21 14:46:42,574 - INFO - Frame 106: energy = -6049.113479 eV, forces OK
2025-10-21 14:46:43,638 - INFO - Frame 107: energy = -6049.851084 eV, forces OK
2025-10-21 14:46:44,784 - INFO - Frame 108: energy = -6050.775442 eV, forces OK
2025-10-21 14:46:45,880 - INFO - Frame 109: energy = -6051.111572 eV, forces OK
2025-10-21 14:46:46,911 - INFO - Frame 110: energy = -6051.249155 eV, forces OK
2025-10-21 14:46:47,967 - INFO - Frame 111: energy = -6051.512624 eV, forces OK
2025-10-21 14:46:49,115 - INFO - Frame 112: energy = -6051.960877 eV, forces OK
2025-10-21 14:46:50,281 - INFO - Frame 113: energy = -6052.331631 eV, forces OK
2025-10-21 14:46:51,411 - INFO - Frame 114: energy = -6052.510294 eV, forces OK
2025-10-21 14:46:52,811 - INFO - Frame 115: energy = -6047.704288 eV, forces OK
2025-10-21 14:46:54,098 - INFO - Frame 116: energy = -6050.911406 eV, forces OK
2025-10-21 14:46:55,242 - INFO - Frame 117: energy = -6051.947369 eV, forces OK
2025-10-21 14:46:56,416 - INFO - Frame 118: energy = -6052.543603 eV, forces OK
2025-10-21 14:46:57,467 - INFO - Frame 119: energy = -6052.917526 eV, forces OK
2025-10-21 14:46:58,580 - INFO - Frame 120: energy = -6053.021066 eV, forces OK
2025-10-21 14:47:00,801 - INFO - Frame 121: energy = -6047.611880 eV, forces OK
2025-10-21 14:47:01,971 - INFO - Frame 122: energy = -6049.098701 eV, forces OK
2025-10-21 14:47:02,998 - INFO - Frame 123: energy = -6049.931425 eV, forces OK
2025-10-21 14:47:04,102 - INFO - Frame 124: energy = -6050.831180 eV, forces OK
2025-10-21 14:47:05,170 - INFO - Frame 125: energy = -6051.099043 eV, forces OK
2025-10-21 14:47:06,220 - INFO - Frame 126: energy = -6051.721706 eV, forces OK
2025-10-21 14:47:07,304 - INFO - Frame 127: energy = -6052.335839 eV, forces OK
2025-10-21 14:47:08,374 - INFO - Frame 128: energy = -6052.698415 eV, forces OK
2025-10-21 14:47:09,431 - INFO - Frame 129: energy = -6052.798462 eV, forces OK
2025-10-21 14:47:11,074 - INFO - Frame 130: energy = -6049.639708 eV, forces OK
2025-10-21 14:47:12,331 - INFO - Frame 131: energy = -6051.366004 eV, forces OK
2025-10-21 14:47:13,477 - INFO - Frame 132: energy = -6052.187438 eV, forces OK
2025-10-21 14:47:14,672 - INFO - Frame 133: energy = -6052.953467 eV, forces OK
2025-10-21 14:47:15,729 - INFO - Frame 134: energy = -6053.190569 eV, forces OK
2025-10-21 14:47:16,363 - INFO - Frame 135: energy = -6053.191741 eV, forces OK
